dir, x_pos, y_pos, orientation(deg), radius, residual, left, adjust_amount, mot0_0, mot0_1, mot1_0, mot1_1, mot2_0, mot2_1
4, 260.432280, 231.064180, -9599.395060, 79054.101676, 2.954873, True, 0.931927, 22, 126, 0, 8, 434, 124
4, 272.899410, 239.814800, -9251.496233, 83.803000, 1.320616, False, 8.511185, 31, 126, 0, 8, 434, 124
4, 282.832310, 249.875840, -7063.289053, 12.477899, 17.330853, True, 12.537108, 18, 126, 0, 8, 434, 124
3, 278.837800, 268.961360, 9900.552564, 16.135400, 2.205191, False, 12.098988, 18, 126, 0, 8, 446, 124
2, 273.829160, 270.595090, 8018.509965, 8.217854, 1.898364, False, 13.138688, 18, 126, 0, 8, 459, 124
0, 259.976990, 259.531340, 2445.334595, 12.096694, 3.452488, False, 12.586546, 18, 126, 0, 8, 459, 112
3, 263.371700, 246.045270, -118.693364, 11.828091, 13.839125, False, 12.621853, 18, 126, 0, 8, 472, 112
5, 257.346590, 267.261720, -4025.129924, 17.228453, 10.834114, False, 11.979398, 18, 126, 0, 8, 472, 100
1, 287.738740, 255.159770, -2344.138217, 51.075780, 2.707794, True, 9.656493, 18, 136, 0, 8, 472, 100
3, 276.374510, 250.328060, -4469.499374, 10.265569, 3.896260, False, 12.835429, 18, 136, 0, 8, 484, 100
4, 271.887660, 255.633970, -3580.162879, 9930.537358, 13.943373, False, 1.859707, 20, 136, 0, 8, 484, 100
4, 264.604340, 259.415650, -4638.574636, 49.383381, 2.380142, False, 9.734377, 30, 136, 0, 8, 484, 100
1, 292.033170, 244.638600, -3400.781253, 117.808456, 15.035225, True, 7.744048, 30, 144, 0, 8, 484, 100
3, 278.024990, 244.753040, -6012.171622, 9.449091, 18.670330, False, 12.952970, 30, 144, 0, 8, 497, 100
2, 273.974000, 237.429840, -8586.881233, 11.032250, 0.322202, False, 12.728842, 30, 144, 0, 8, 510, 100
3, 283.647190, 252.349350, 7376.414499, 12.466395, 1.867475, False, 12.538588, 30, 144, 0, 8, 523, 100
0, 268.841920, 245.595950, 1591.426945, 10.967403, 4.208985, False, 12.737721, 30, 144, 0, 8, 523, 87
